clip,actor,sentence,intended,intensity,n_raters,v_A,v_D,v_F,v_H,v_N,v_S,p_A,p_D,p_F,p_H,p_N,p_S,tied,unambiguous,agreement,perceived,perceived_randtie,perceived_strict,entropy,p_intended
1020_TIE_ANG_XX,1020,TIE,A,XX,10,5,5,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,True,False,0.5,A,A,TIE,0.3868528072345416,0.5
1020_TIE_DIS_XX,1020,TIE,D,XX,10,0,5,0,0,5,0,0.0,0.5,0.0,0.0,0.5,0.0,True,False,0.5,N,N,TIE,0.3868528072345416,0.5
1020_TIE_FEA_XX,1020,TIE,F,XX,10,0,1,2,0,4,3,0.0,0.1,0.2,0.0,0.4,0.3,False,True,0.4,N,N,N,0.7143002438742897,0.2
1020_TIE_HAP_XX,1020,TIE,H,XX,9,0,3,0,5,1,0,0.0,0.3333333333333333,0.0,0.5555555555555556,0.1111111111111111,0.0,False,True,0.5555555555555556,H,H,H,0.5228873203291379,0.5555555555555556
1020_TIE_NEU_XX,1020,TIE,N,XX,10,0,0,0,0,8,2,0.0,0.0,0.0,0.0,0.8,0.2,False,True,0.8,N,N,N,0.27927991012866066,0.8
1020_TIE_SAD_XX,1020,TIE,S,XX,10,1,0,3,0,3,3,0.1,0.0,0.3,0.0,0.3,0.3,True,False,0.3,N,N,TIE,0.7332647354495562,0.3
1020_TSI_ANG_XX,1020,TSI,A,XX,8,1,3,1,0,3,0,0.125,0.375,0.125,0.0,0.375,0.0,True,False,0.375,D,D,TIE,0.7006980271295309,0.125
1020_TSI_DIS_XX,1020,TSI,D,XX,10,0,3,1,0,4,2,0.0,0.3,0.1,0.0,0.4,0.2,False,True,0.4,N,N,N,0.7143002438742896,0.3
1020_TSI_FEA_XX,1020,TSI,F,XX,10,0,1,7,0,1,1,0.0,0.1,0.7,0.0,0.1,0.1,False,True,0.7,F,F,F,0.5248740161872845,0.7
1020_TSI_HAP_XX,1020,TSI,H,XX,9,0,3,2,1,2,1,0.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,False,True,0.3333333333333333,D,D,D,0.8499774069493012,0.1111111111111111
1020_TSI_NEU_XX,1020,TSI,N,XX,10,0,0,1,0,7,2,0.0,0.0,0.1,0.0,0.7,0.2,False,True,0.7,N,N,N,0.44750345474037617,0.7
1020_TSI_SAD_XX,1020,TSI,S,XX,7,0,1,0,0,5,1,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,0.14285714285714285,False,True,0.7142857142857143,N,N,N,0.4444299884274582,0.14285714285714285
1020_WSI_ANG_XX,1020,WSI,A,XX,10,9,1,0,0,0,0,0.9,0.1,0.0,0.0,0.0,0.0,False,True,0.9,A,A,A,0.1814322619606436,0.9
1020_WSI_DIS_XX,1020,WSI,D,XX,10,4,2,0,0,3,1,0.4,0.2,0.0,0.0,0.3,0.1,False,True,0.4,A,A,A,0.7143002438742896,0.2
1020_WSI_FEA_XX,1020,WSI,F,XX,11,0,0,3,0,1,7,0.0,0.0,0.2727272727272727,0.0,0.09090909090909091,0.6363636363636364,False,True,0.6363636363636364,S,S,S,0.4799568780322982,0.2727272727272727
1020_WSI_HAP_XX,1020,WSI,H,XX,10,0,0,0,6,4,0,0.0,0.0,0.0,0.6,0.4,0.0,False,True,0.6,H,H,H,0.37561496315083553,0.6
1020_WSI_NEU_XX,1020,WSI,N,XX,10,1,1,0,1,6,1,0.1,0.1,0.0,0.1,0.6,0.1,False,True,0.6,N,N,N,0.6850972089384687,0.6
1020_WSI_SAD_XX,1020,WSI,S,XX,9,0,0,0,0,4,5,0.0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,False,True,0.5555555555555556,S,S,S,0.3834005559313648,0.5555555555555556
1021_DFA_ANG_XX,1021,DFA,A,XX,10,7,3,0,0,0,0,0.7,0.3,0.0,0.0,0.0,0.0,False,True,0.7,A,A,A,0.340929858357647,0.7
1021_DFA_DIS_XX,1021,DFA,D,XX,9,4,2,0,0,3,0,0.4444444444444444,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,False,True,0.4444444444444444,A,A,A,0.5920755354596067,0.2222222222222222
1021_DFA_FEA_XX,1021,DFA,F,XX,10,0,0,2,0,4,4,0.0,0.0,0.2,0.0,0.4,0.4,True,False,0.4,N,N,TIE,0.588762155916294,0.2
1021_DFA_HAP_XX,1021,DFA,H,XX,10,0,0,1,3,6,0,0.0,0.0,0.1,0.3,0.6,0.0,False,True,0.6,N,N,N,0.5011530511088312,0.3
1021_DFA_NEU_XX,1021,DFA,N,XX,10,0,2,1,0,7,0,0.0,0.2,0.1,0.0,0.7,0.0,False,True,0.7,N,N,N,0.44750345474037617,0.7
1021_DFA_SAD_XX,1021,DFA,S,XX,10,0,0,0,0,9,1,0.0,0.0,0.0,0.0,0.9,0.1,False,True,0.9,N,N,N,0.1814322619606436,0.1
1021_IEO_ANG_HI,1021,IEO,A,HI,10,8,2,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,False,True,0.8,A,A,A,0.27927991012866066,0.8
1021_IEO_ANG_LO,1021,IEO,A,LO,9,1,0,0,0,8,0,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888,0.0,False,True,0.8888888888888888,N,N,N,0.19468689957213928,0.1111111111111111
1021_IEO_ANG_MD,1021,IEO,A,MD,10,7,2,1,0,0,0,0.7,0.2,0.1,0.0,0.0,0.0,False,True,0.7,A,A,A,0.4475034547403761,0.7
1021_IEO_DIS_HI,1021,IEO,D,HI,10,0,5,1,0,4,0,0.0,0.5,0.1,0.0,0.4,0.0,False,True,0.5,D,D,D,0.5264927622988719,0.5
1021_IEO_DIS_LO,1021,IEO,D,LO,10,2,1,0,1,5,1,0.2,0.1,0.0,0.1,0.5,0.1,False,True,0.5,N,N,N,0.7586044466395968,0.1
1021_IEO_DIS_MD,1021,IEO,D,MD,9,3,5,0,0,0,1,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111,False,True,0.5555555555555556,D,D,D,0.5228873203291379,0.5555555555555556
1021_IEO_FEA_HI,1021,IEO,F,HI,11,1,2,2,0,2,4,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.36363636363636365,False,True,0.36363636363636365,S,S,S,0.8459327148072651,0.18181818181818182
1021_IEO_FEA_LO,1021,IEO,F,LO,10,1,5,0,0,2,2,0.1,0.5,0.0,0.0,0.2,0.2,False,True,0.5,D,D,D,0.6812338851926886,0.0
1021_IEO_FEA_MD,1021,IEO,F,MD,10,0,1,0,0,7,2,0.0,0.1,0.0,0.0,0.7,0.2,False,True,0.7,N,N,N,0.44750345474037617,0.0
1021_IEO_HAP_HI,1021,IEO,H,HI,10,3,5,0,0,2,0,0.3,0.5,0.0,0.0,0.2,0.0,False,True,0.5,D,D,D,0.5746602888099595,0.0
1021_IEO_HAP_LO,1021,IEO,H,LO,8,0,0,0,4,3,1,0.0,0.0,0.0,0.5,0.375,0.125,False,True,0.5,H,H,H,0.5437754171820363,0.5
1021_IEO_HAP_MD,1021,IEO,H,MD,9,0,2,0,2,4,1,0.0,0.2222222222222222,0.0,0.2222222222222222,0.4444444444444444,0.1111111111111111,False,True,0.4444444444444444,N,N,N,0.7104906425515282,0.2222222222222222
1021_IEO_NEU_XX,1021,IEO,N,XX,9,1,1,0,0,7,0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.7777777777777778,0.0,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.7777777777777778
1021_IEO_SAD_HI,1021,IEO,S,HI,10,0,1,0,0,8,1,0.0,0.1,0.0,0.0,0.8,0.1,False,True,0.8,N,N,N,0.35665047157556895,0.1
1021_IEO_SAD_LO,1021,IEO,S,LO,9,0,0,1,0,7,1,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,0.1111111111111111,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.1111111111111111
1021_IEO_SAD_MD,1021,IEO,S,MD,9,0,3,0,0,4,2,0.0,0.3333333333333333,0.0,0.0,0.4444444444444444,0.2222222222222222,False,True,0.4444444444444444,N,N,N,0.5920755354596067,0.2222222222222222
1021_IOM_ANG_XX,1021,IOM,A,XX,10,8,2,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,False,True,0.8,A,A,A,0.27927991012866066,0.8
1021_IOM_DIS_XX,1021,IOM,D,XX,10,0,0,4,0,5,1,0.0,0.0,0.4,0.0,0.5,0.1,False,True,0.5,N,N,N,0.5264927622988719,0.0
1021_IOM_FEA_XX,1021,IOM,F,XX,10,0,0,0,3,7,0,0.0,0.0,0.0,0.3,0.7,0.0,False,True,0.7,N,N,N,0.340929858357647,0.0
1021_IOM_HAP_XX,1021,IOM,H,XX,10,0,0,0,4,6,0,0.0,0.0,0.0,0.4,0.6,0.0,False,True,0.6,N,N,N,0.37561496315083553,0.4
1021_IOM_NEU_XX,1021,IOM,N,XX,10,0,1,0,1,8,0,0.0,0.1,0.0,0.1,0.8,0.0,False,True,0.8,N,N,N,0.35665047157556895,0.8
1021_IOM_SAD_XX,1021,IOM,S,XX,8,0,2,0,0,2,4,0.0,0.25,0.0,0.0,0.25,0.5,False,True,0.5,S,S,S,0.5802792108518123,0.5
1021_ITH_ANG_XX,1021,ITH,A,XX,8,4,2,1,0,1,0,0.5,0.25,0.125,0.0,0.125,0.0,False,True,0.5,A,A,A,0.6769924126604477,0.5
1021_ITH_DIS_XX,1021,ITH,D,XX,9,0,0,3,0,3,3,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,True,False,0.3333333333333333,N,F,TIE,0.6131471927654584,0.0
1021_ITH_FEA_XX,1021,ITH,F,XX,9,0,0,1,0,4,4,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.4444444444444444,True,False,0.4444444444444444,N,N,TIE,0.5385560615583984,0.1111111111111111
1021_ITH_HAP_XX,1021,ITH,H,XX,8,0,0,0,1,7,0,0.0,0.0,0.0,0.125,0.875,0.0,False,True,0.875,N,N,N,0.2102794307646444,0.125
1021_ITH_NEU_XX,1021,ITH,N,XX,9,0,1,1,0,7,0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778,0.0,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.7777777777777778
1021_ITH_SAD_XX,1021,ITH,S,XX,10,0,1,1,0,6,2,0.0,0.1,0.1,0.0,0.6,0.2,False,True,0.6,N,N,N,0.6077266474915606,0.2
1021_ITS_ANG_XX,1021,ITS,A,XX,9,2,7,0,0,0,0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.0,False,True,0.7777777777777778,D,D,D,0.29563465864414723,0.2222222222222222
1021_ITS_DIS_XX,1021,ITS,D,XX,9,0,3,1,0,3,2,0.0,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,0.2222222222222222,True,False,0.3333333333333333,N,D,TIE,0.7315622998573797,0.3333333333333333
1021_ITS_FEA_XX,1021,ITS,F,XX,8,0,0,2,0,3,3,0.0,0.0,0.25,0.0,0.375,0.375,True,False,0.375,S,N,TIE,0.6039848253208955,0.25
1021_ITS_HAP_XX,1021,ITS,H,XX,10,0,0,0,3,6,1,0.0,0.0,0.0,0.3,0.6,0.1,False,True,0.6,N,N,N,0.5011530511088312,0.3
1021_ITS_NEU_XX,1021,ITS,N,XX,9,0,1,1,0,5,2,0.0,0.1111111111111111,0.1111111111111111,0.0,0.5555555555555556,0.2222222222222222,False,True,0.5555555555555556,N,N,N,0.6413024274210591,0.5555555555555556
1021_ITS_SAD_XX,1021,ITS,S,XX,10,0,0,1,0,6,3,0.0,0.0,0.1,0.0,0.6,0.3,False,True,0.6,N,N,N,0.5011530511088312,0.3
1021_IWL_ANG_XX,1021,IWL,A,XX,10,6,4,0,0,0,0,0.6,0.4,0.0,0.0,0.0,0.0,False,True,0.6,A,A,A,0.37561496315083553,0.6
1021_IWL_DIS_XX,1021,IWL,D,XX,9,0,1,0,0,4,4,0.0,0.1111111111111111,0.0,0.0,0.4444444444444444,0.4444444444444444,True,False,0.4444444444444444,N,N,TIE,0.5385560615583984,0.1111111111111111
1021_IWL_FEA_XX,1021,IWL,F,XX,8,0,0,1,0,6,1,0.0,0.0,0.125,0.0,0.75,0.125,False,True,0.75,N,N,N,0.4105584217036248,0.125
1021_IWL_HAP_XX,1021,IWL,H,XX,8,0,0,0,1,7,0,0.0,0.0,0.0,0.125,0.875,0.0,False,True,0.875,N,N,N,0.2102794307646444,0.125
1021_IWL_NEU_XX,1021,IWL,N,XX,10,1,0,0,0,9,0,0.1,0.0,0.0,0.0,0.9,0.0,False,True,0.9,N,N,N,0.1814322619606436,0.9
1021_IWL_SAD_XX,1021,IWL,S,XX,8,0,0,0,0,8,0,0.0,0.0,0.0,0.0,1.0,0.0,False,True,1.0,N,N,N,-0.0,0.0
1021_IWW_ANG_XX,1021,IWW,A,XX,10,6,3,0,0,1,0,0.6,0.3,0.0,0.0,0.1,0.0,False,True,0.6,A,A,A,0.5011530511088312,0.6
1021_IWW_DIS_XX,1021,IWW,D,XX,8,0,0,2,0,6,0,0.0,0.0,0.25,0.0,0.75,0.0,False,True,0.75,N,N,N,0.3138452198949893,0.0
1021_IWW_FEA_XX,1021,IWW,F,XX,8,0,0,2,0,6,0,0.0,0.0,0.25,0.0,0.75,0.0,False,True,0.75,N,N,N,0.3138452198949893,0.25
1021_IWW_HAP_XX,1021,IWW,H,XX,9,0,1,1,2,4,1,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.1111111111111111,False,True,0.4444444444444444,N,N,N,0.7964579330480929,0.2222222222222222
1021_IWW_NEU_XX,1021,IWW,N,XX,9,1,1,1,1,5,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.0,False,True,0.5555555555555556,N,N,N,0.727269717917624,0.5555555555555556
1021_IWW_SAD_XX,1021,IWW,S,XX,10,0,1,2,0,6,1,0.0,0.1,0.2,0.0,0.6,0.1,False,True,0.6,N,N,N,0.6077266474915604,0.1
1021_MTI_ANG_XX,1021,MTI,A,XX,9,2,4,0,0,3,0,0.2222222222222222,0.4444444444444444,0.0,0.0,0.3333333333333333,0.0,False,True,0.4444444444444444,D,D,D,0.5920755354596067,0.2222222222222222
1021_MTI_DIS_XX,1021,MTI,D,XX,9,0,2,0,0,7,0,0.0,0.2222222222222222,0.0,0.0,0.7777777777777778,0.0,False,True,0.7777777777777778,N,N,N,0.29563465864414723,0.2222222222222222
1021_MTI_FEA_XX,1021,MTI,F,XX,10,0,0,1,0,4,5,0.0,0.0,0.1,0.0,0.4,0.5,False,True,0.5,S,S,S,0.526492762298872,0.1
1021_MTI_HAP_XX,1021,MTI,H,XX,9,0,1,0,0,5,3,0.0,0.1111111111111111,0.0,0.0,0.5555555555555556,0.3333333333333333,False,True,0.5555555555555556,N,N,N,0.5228873203291378,0.0
1021_MTI_NEU_XX,1021,MTI,N,XX,8,0,0,0,0,8,0,0.0,0.0,0.0,0.0,1.0,0.0,False,True,1.0,N,N,N,-0.0,1.0
1021_MTI_SAD_XX,1021,MTI,S,XX,9,0,1,1,0,3,4,0.0,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.4444444444444444,False,True,0.4444444444444444,S,S,S,0.6780428259561715,0.4444444444444444
1021_TAI_ANG_XX,1021,TAI,A,XX,10,4,4,0,0,2,0,0.4,0.4,0.0,0.0,0.2,0.0,True,False,0.4,A,A,TIE,0.588762155916294,0.4
1021_TAI_DIS_XX,1021,TAI,D,XX,10,0,1,0,0,8,1,0.0,0.1,0.0,0.0,0.8,0.1,False,True,0.8,N,N,N,0.35665047157556895,0.1
1021_TAI_FEA_XX,1021,TAI,F,XX,11,0,0,1,0,4,6,0.0,0.0,0.09090909090909091,0.0,0.36363636363636365,0.5454545454545454,False,True,0.5454545454545454,S,S,S,0.5114887914806514,0.09090909090909091
1021_TAI_HAP_XX,1021,TAI,H,XX,10,0,0,0,6,3,1,0.0,0.0,0.0,0.6,0.3,0.1,False,True,0.6,H,H,H,0.5011530511088312,0.6
1021_TAI_NEU_XX,1021,TAI,N,XX,8,1,1,0,0,6,0,0.125,0.125,0.0,0.0,0.75,0.0,False,True,0.75,N,N,N,0.4105584217036248,0.75
1021_TAI_SAD_XX,1021,TAI,S,XX,9,0,0,0,0,7,2,0.0,0.0,0.0,0.0,0.7777777777777778,0.2222222222222222,False,True,0.7777777777777778,N,N,N,0.29563465864414723,0.2222222222222222
1021_TIE_ANG_XX,1021,TIE,A,XX,10,7,3,0,0,0,0,0.7,0.3,0.0,0.0,0.0,0.0,False,True,0.7,A,A,A,0.340929858357647,0.7
1021_TIE_DIS_XX,1021,TIE,D,XX,9,3,0,0,0,5,1,0.3333333333333333,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,False,True,0.5555555555555556,N,N,N,0.5228873203291379,0.0
1021_TIE_FEA_XX,1021,TIE,F,XX,10,0,1,1,0,8,0,0.0,0.1,0.1,0.0,0.8,0.0,False,True,0.8,N,N,N,0.35665047157556895,0.1
1021_TIE_HAP_XX,1021,TIE,H,XX,10,0,1,0,0,9,0,0.0,0.1,0.0,0.0,0.9,0.0,False,True,0.9,N,N,N,0.1814322619606436,0.0
1021_TIE_NEU_XX,1021,TIE,N,XX,10,1,0,0,0,9,0,0.1,0.0,0.0,0.0,0.9,0.0,False,True,0.9,N,N,N,0.1814322619606436,0.9
1021_TIE_SAD_XX,1021,TIE,S,XX,10,0,4,0,0,2,4,0.0,0.4,0.0,0.0,0.2,0.4,True,False,0.4,D,S,TIE,0.588762155916294,0.4
1021_TSI_ANG_XX,1021,TSI,A,XX,10,5,4,0,0,1,0,0.5,0.4,0.0,0.0,0.1,0.0,False,True,0.5,A,A,A,0.5264927622988719,0.5
1021_TSI_DIS_XX,1021,TSI,D,XX,9,0,1,0,1,7,0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.7777777777777778,0.0,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.1111111111111111
1021_TSI_FEA_XX,1021,TSI,F,XX,9,0,1,1,1,3,3,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,True,False,0.3333333333333333,N,S,TIE,0.8175295903539446,0.1111111111111111
1021_TSI_HAP_XX,1021,TSI,H,XX,10,0,1,3,0,5,1,0.0,0.1,0.3,0.0,0.5,0.1,False,True,0.5,N,N,N,0.6520308502568676,0.0
1021_TSI_NEU_XX,1021,TSI,N,XX,9,0,0,0,0,9,0,0.0,0.0,0.0,0.0,1.0,0.0,False,True,1.0,N,N,N,-0.0,1.0
1021_TSI_SAD_XX,1021,TSI,S,XX,10,0,1,0,0,5,4,0.0,0.1,0.0,0.0,0.5,0.4,False,True,0.5,N,N,N,0.5264927622988719,0.4
1021_WSI_ANG_XX,1021,WSI,A,XX,9,8,1,0,0,0,0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,False,True,0.8888888888888888,A,A,A,0.19468689957213928,0.8888888888888888
1021_WSI_DIS_XX,1021,WSI,D,XX,9,1,4,0,0,4,0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,True,False,0.4444444444444444,N,D,TIE,0.5385560615583984,0.4444444444444444
1021_WSI_FEA_XX,1021,WSI,F,XX,7,0,1,2,0,1,3,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,False,True,0.42857142857142855,S,S,S,0.7127263906780549,0.2857142857142857
1021_WSI_HAP_XX,1021,WSI,H,XX,10,1,0,0,3,6,0,0.1,0.0,0.0,0.3,0.6,0.0,False,True,0.6,N,N,N,0.5011530511088312,0.3
1021_WSI_NEU_XX,1021,WSI,N,XX,9,0,1,0,0,8,0,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,False,True,0.8888888888888888,N,N,N,0.19468689957213928,0.8888888888888888
1021_WSI_SAD_XX,1021,WSI,S,XX,6,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,False,True,0.6666666666666666,N,N,N,0.355245321275764,0.3333333333333333
1022_DFA_ANG_XX,1022,DFA,A,XX,11,11,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,False,True,1.0,A,A,A,-0.0,1.0
1022_DFA_DIS_XX,1022,DFA,D,XX,11,5,6,0,0,0,0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0,0.0,False,True,0.5454545454545454,D,D,D,0.3845433777858057,0.5454545454545454
1022_DFA_FEA_XX,1022,DFA,F,XX,10,0,0,0,0,7,3,0.0,0.0,0.0,0.0,0.7,0.3,False,True,0.7,N,N,N,0.340929858357647,0.0
1022_DFA_HAP_XX,1022,DFA,H,XX,11,1,0,0,6,4,0,0.09090909090909091,0.0,0.0,0.5454545454545454,0.36363636363636365,0.0,False,True,0.5454545454545454,H,H,H,0.5114887914806514,0.5454545454545454
1022_DFA_NEU_XX,1022,DFA,N,XX,10,2,0,0,0,8,0,0.2,0.0,0.0,0.0,0.8,0.0,False,True,0.8,N,N,N,0.27927991012866066,0.8
1022_DFA_SAD_XX,1022,DFA,S,XX,11,0,0,1,1,7,2,0.0,0.0,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.18181818181818182,False,True,0.6363636363636364,N,N,N,0.5768419656529612,0.18181818181818182
1022_IEO_ANG_HI,1022,IEO,A,HI,10,10,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,False,True,1.0,A,A,A,-0.0,1.0
1022_IEO_ANG_LO,1022,IEO,A,LO,8,3,2,0,0,3,0,0.375,0.25,0.0,0.0,0.375,0.0,True,False,0.375,N,N,TIE,0.6039848253208955,0.375
1022_IEO_ANG_MD,1022,IEO,A,MD,8,6,2,0,0,0,0,0.75,0.25,0.0,0.0,0.0,0.0,False,True,0.75,A,A,A,0.3138452198949893,0.75
1022_IEO_DIS_HI,1022,IEO,D,HI,8,0,2,1,0,4,1,0.0,0.25,0.125,0.0,0.5,0.125,False,True,0.5,N,N,N,0.6769924126604477,0.25
1022_IEO_DIS_LO,1022,IEO,D,LO,10,0,3,0,0,6,1,0.0,0.3,0.0,0.0,0.6,0.1,False,True,0.6,N,N,N,0.5011530511088312,0.3
1022_IEO_DIS_MD,1022,IEO,D,MD,9,0,1,0,0,7,1,0.0,0.1111111111111111,0.0,0.0,0.7777777777777778,0.1111111111111111,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.1111111111111111
1022_IEO_FEA_HI,1022,IEO,F,HI,10,0,0,4,4,2,0,0.0,0.0,0.4,0.4,0.2,0.0,True,False,0.4,H,F,TIE,0.588762155916294,0.4
1022_IEO_FEA_LO,1022,IEO,F,LO,9,0,1,0,0,7,1,0.0,0.1111111111111111,0.0,0.0,0.7777777777777778,0.1111111111111111,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.0
1022_IEO_FEA_MD,1022,IEO,F,MD,9,0,1,3,0,5,0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.5555555555555556,0.0,False,True,0.5555555555555556,N,N,N,0.5228873203291378,0.3333333333333333
1022_IEO_HAP_HI,1022,IEO,H,HI,10,0,0,0,4,5,1,0.0,0.0,0.0,0.4,0.5,0.1,False,True,0.5,N,N,N,0.5264927622988719,0.4
1022_IEO_HAP_LO,1022,IEO,H,LO,9,0,0,0,2,6,1,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.1111111111111111,False,True,0.6666666666666666,N,N,N,0.4736604283676854,0.2222222222222222
1022_IEO_HAP_MD,1022,IEO,H,MD,9,0,1,0,4,4,0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.4444444444444444,0.0,True,False,0.4444444444444444,N,H,TIE,0.5385560615583984,0.4444444444444444
1022_IEO_NEU_XX,1022,IEO,N,XX,9,0,0,0,1,7,1,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778,0.1111111111111111,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.7777777777777778
1022_IEO_SAD_HI,1022,IEO,S,HI,9,3,0,1,0,1,4,0.3333333333333333,0.0,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,False,True,0.4444444444444444,S,S,S,0.6780428259561715,0.4444444444444444
1022_IEO_SAD_LO,1022,IEO,S,LO,9,0,0,1,0,5,3,0.0,0.0,0.1111111111111111,0.0,0.5555555555555556,0.3333333333333333,False,True,0.5555555555555556,N,N,N,0.5228873203291378,0.3333333333333333
1022_IEO_SAD_MD,1022,IEO,S,MD,10,0,2,0,0,8,0,0.0,0.2,0.0,0.0,0.8,0.0,False,True,0.8,N,N,N,0.27927991012866066,0.0
1022_IOM_ANG_XX,1022,IOM,A,XX,9,8,0,0,0,1,0,0.8888888888888888,0.0,0.0,0.0,0.1111111111111111,0.0,False,True,0.8888888888888888,A,A,A,0.19468689957213928,0.8888888888888888
1022_IOM_DIS_XX,1022,IOM,D,XX,10,0,7,0,0,2,1,0.0,0.7,0.0,0.0,0.2,0.1,False,True,0.7,D,D,D,0.4475034547403761,0.7
1022_IOM_FEA_XX,1022,IOM,F,XX,10,0,0,1,0,9,0,0.0,0.0,0.1,0.0,0.9,0.0,False,True,0.9,N,N,N,0.1814322619606436,0.1
1022_IOM_HAP_XX,1022,IOM,H,XX,9,0,0,0,4,5,0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,False,True,0.5555555555555556,N,N,N,0.3834005559313648,0.4444444444444444
1022_IOM_NEU_XX,1022,IOM,N,XX,10,1,0,1,0,8,0,0.1,0.0,0.1,0.0,0.8,0.0,False,True,0.8,N,N,N,0.35665047157556895,0.8
1022_IOM_SAD_XX,1022,IOM,S,XX,11,0,2,0,0,5,4,0.0,0.18181818181818182,0.0,0.0,0.45454545454545453,0.36363636363636365,False,True,0.45454545454545453,N,N,N,0.5783135530271315,0.36363636363636365
1022_ITH_ANG_XX,1022,ITH,A,XX,11,4,0,0,0,6,1,0.36363636363636365,0.0,0.0,0.0,0.5454545454545454,0.09090909090909091,False,True,0.5454545454545454,N,N,N,0.5114887914806514,0.36363636363636365
1022_ITH_DIS_XX,1022,ITH,D,XX,10,1,5,0,0,4,0,0.1,0.5,0.0,0.0,0.4,0.0,False,True,0.5,D,D,D,0.5264927622988719,0.5
1022_ITH_FEA_XX,1022,ITH,F,XX,11,0,0,2,0,8,1,0.0,0.0,0.18181818181818182,0.0,0.7272727272727273,0.09090909090909091,False,True,0.7272727272727273,N,N,N,0.42391147055140155,0.18181818181818182
1022_ITH_HAP_XX,1022,ITH,H,XX,11,0,0,0,4,7,0,0.0,0.0,0.0,0.36363636363636365,0.6363636363636364,0.0,False,True,0.6363636363636364,N,N,N,0.3658313435250293,0.36363636363636365
1022_ITH_NEU_XX,1022,ITH,N,XX,10,0,0,0,1,9,0,0.0,0.0,0.0,0.1,0.9,0.0,False,True,0.9,N,N,N,0.1814322619606436,0.9
1022_ITH_SAD_XX,1022,ITH,S,XX,10,0,1,2,0,7,0,0.0,0.1,0.2,0.0,0.7,0.0,False,True,0.7,N,N,N,0.44750345474037617,0.0
1022_ITS_ANG_XX,1022,ITS,A,XX,8,4,4,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,True,False,0.5,D,D,TIE,0.3868528072345416,0.5
1022_ITS_DIS_XX,1022,ITS,D,XX,10,0,3,1,0,6,0,0.0,0.3,0.1,0.0,0.6,0.0,False,True,0.6,N,N,N,0.5011530511088312,0.3
1022_ITS_FEA_XX,1022,ITS,F,XX,10,0,0,0,0,9,1,0.0,0.0,0.0,0.0,0.9,0.1,False,True,0.9,N,N,N,0.1814322619606436,0.0
